J0023+0923 111.455 -52.8579 7.28337e-12 8.09153e-13 14.33 0.4 0.3
J0030+0451 113.147 -57.6071 6.06753e-11 1.50778e-12 4.33 2.79 0.23
J0034-0534 111.487 -68.0739 1.80409e-11 1.02219e-12 13.77 * *
J0101-6422 301.21 -52.723 1.24511e-11 8.52165e-13 11.93 * *
J0102+4839 124.867 -14.1562 1.35695e-11 2.07317e-12 53.50 * *
J0218+4232 139.517 -17.5066 4.81435e-11 1.80354e-12 61.25 0.16 0.09
J0248+4230 144.861 -15.2961 5.20604e-12 8.14065e-13 48.2 * *
J0251+26 153.917 -29.5118 6.87257e-12 9.92971e-13 20.00 * *
J0308+74 131.72 14.2175 2.4051e-12 6.70439e-13 6.35 * *
J0340+4130 153.782 -11.0278 2.22366e-11 1.32535e-12 49.58 * *
J0437-4715 253.362 -41.9723 1.78713e-11 8.84607e-13 2.64 6.37 0.09
J0533+67 144.774 18.1969 1.30285e-11 1.88592e-12 57.40 * *
J0605+37 174.208 7.99627 7.81771e-12 9.45573e-13 21.00 * *
J0610-2100 227.73 -18.179 1.14802e-11 1.07495e-12 60.67 * *
J0613-0200 210.436 -9.29678 3.35713e-11 1.63638e-12 38.78 1.25 0.13
J0614-3329 240.496 -21.8309 1.10798e-10 2.36135e-12 37.05 * *
J0621+25 187.104 5.05853 1.10354e-11 1.49531e-12 83.60 * *
J0737-3039A 245.236 -4.505 4e-12 1e-12 48.92 * *
J0740+6620 149.709 29.6112 4.77337e-12 6.78724e-13 14.96 * *
J0751+1807 202.757 21.093 1.30442e-11 9.72864e-13 30.25 0.82 0.17
J0931-1902 250.953 22.9682 3.00482e-12 8.58683e-13 41.49 * *
J0955-61 283.699 -5.69614 8.23963e-12 1.27151e-12 160.70 * *
J1012-4235 274.198 11.2109 7.47723e-12 1.11508e-12 71.60 * *
J1023+0038 243.432 45.7843 5.35021e-12 9.72244e-13 14.32 0.731 0.022
J1024-0719 251.683 40.5169 3.58114e-12 5.17859e-13 6.49 0.77 0.23
J1035-6720 290.37 -7.84 2.15e-11 1.9e-12 84.16 * *
